AL|CHULAFINNEE|36264,HEFLIN
AL|CLAIBORNE|36470,PERDUE HILL
AL|CLAYHATCHEE|36322,DALEVILLE
AL|COAL CITY|35182,WATTSVILLE
AL|COAL FIRE|35481,REFORM
AL|COALBURG|35068,FULTONDALE
AL|COALING|35453,COTTONDALE
AL|COATOPA|35470,LIVINGSTON
AL|COCHRANE|35442,ALICEVILLE
AL|COFFEE SPGS|36318,COFFEE SPRINGS
AL|COLONIAL MORTGAGE|36142,MONTGOMERY
AL|COMER|36053,MIDWAY
AL|COMPASS BANK|35296,BIRMINGHAM
AL|CONCORD|35023,BESSEMER
AL|COOSA PINES|35044,CHILDERSBURG
AL|COPELAND|36558,MILLRY
AL|CORINTH|36278,WEDOWEE
AL|CORTELYOU|36585,WAGARVILLE
AL|COTTONTON|36859,HOLY TRINITY
AL|CRESTLINE HEIGHTS|35213,BIRMINGHAM
AL|CRESTLINE HTS|35213,BIRMINGHAM
AL|CRESTLINE HTS|35213,CRESTLINE HEIGHTS
AL|CRESTLINE|35213,BIRMINGHAM
AL|CYPRESS|35474,MOUNDVILLE
AL|DAMASCUS|36426,BREWTON
AL|DANNELLY|36108,MONTGOMERY
AL|DAUPHIN ISLND|36528,DAUPHIN ISLAND
AL|DAYTON|36738,FAUNSDALE
AL|DEPT OF TREAS BUR ACCTS|35293,BIRMINGHAM
AL|DICKERT|36276,WADLEY
AL|DIXIANA|35126,PINSON
AL|DIXIE|36420,ANDALUSIA
AL|DIXONVILLE|36426,BREWTON
AL|DOUBLE SPGS|35553,DOUBLE SPRINGS
AL|E TALLASSEE|36023,EAST TALLASSEE
AL|EAST BREWTON|36426,BREWTON
AL|EAST BREWTON|36427,BREWTON
AL|EAST GADSDEN|35903,GADSDEN
AL|EASTSIDE|35404,TUSCALOOSA
AL|ECHO|36353,NEWVILLE
AL|EDEN|35125,PELL CITY
AL|EGREEN|36401,EVERGREEN
AL|EIGHT MILE|36663,MOBILE
AL|ELLIOTSVILLE|35144,SILURIA
AL|ELLIOTSVLE|35144,SILURIA
AL|ELLIOTSVL|35144,SILURIA
AL|ELSANOR|36567,ROBERTSDALE
AL|ENGLISH VILLAGE|35223,BIRMINGHAM
AL|ENSLEY|35218,BIRMINGHAM
AL|EOLINE|35042,CENTREVILLE
AL|EPRISE|36330,ENTERPRISE
AL|EPRISE|36331,ENTERPRISE
AL|ERIN|36266,LINEVILLE
AL|EUNOLA|36340,GENEVA
AL|FABIUS|35966,FLAT ROCK
AL|FAIR HOPE|36532,FAIRHOPE
AL|FAIRFAX|36854,VALLEY
AL|FARMERSVILLE|36761,MINTER
AL|FELLOWSHIP|36521,CHUNCHULA
AL|FERNBANK|35576,MILLPORT
AL|FIRST ALABAMA BANK|36134,MONTGOMERY
AL|FISHHEAD|36258,DELTA
AL|FORESTDALE|35214,BIRMINGHAM
AL|FORESTER CHAPEL|36276,WADLEY
AL|FORT MC CLELLAN|36205,ANNISTON
AL|FORT MITCHELL|36859,HOLY TRINITY
AL|FOUNTAIN|36461,MONROEVILLE
AL|FT MC CLELLAN|36205,ANNISTON
AL|FT MC CLELLAN|36205,FORT MC CLELLAN
AL|FT MCCLELLAN|36205,ANNISTON
AL|FT PAYNE|35968,FORT PAYNE
AL|FULTON SPRINGS|35068,FULTONDALE
AL|GADSDEN|35906,RAINBOW CITY
AL|GAINESTOWN|36501,ALMA
AL|GATESWOOD|36567,ROBERTSDALE
AL|GEIGER|35459,EMELLE
AL|GEORGETOWN|36521,CHUNCHULA
AL|GIBSONVILLE|36251,ASHLAND
AL|GLEN CITY|35125,PELL CITY
AL|GLENCOE|35905,GADSDEN
AL|GOLDVILLE|36276,WADLEY
AL|GOSPORT|36482,WHATLEY
AL|GRANGEBURG|36343,GORDON
AL|GRAVLEETON|35148,SUMITON
AL|GRAYSON VALLEY|35235,BIRMINGHAM
AL|GRAYSON|35572,HOUSTON
AL|GRIMES|36301,DOTHAN
AL|GULF CREST|36521,CHUNCHULA
AL|GUNTER A F B|36115,MONTGOMERY
AL|GUNTER A F S|36115,MONTGOMERY
AL|GUNTER AFB|36114,MONTGOMERY
AL|GUNTER AFB|36115,MONTGOMERY
AL|GUNTER AFS-ECI|36118,MONTGOMERY
AL|GUNTER AFS|36115,MONTGOMERY
AL|GUNTER AFS|36118,MONTGOMERY
AL|GUNTER ECI|36118,MONTGOMERY
AL|HACODA|36442,FLORALA
AL|HALEBURG|36319,COLUMBIA
AL|HAMMONDVILLE|35989,VALLEY HEAD
AL|HAMPTON COVE|35763,OWENS CROSS ROADS
AL|HARKINS CROSSROADS|36251,ASHLAND
AL|HARRISBURG|35125,PELL CITY
AL|HAVANA|35474,MOUNDVILLE
AL|HAWK|36280,WOODLAND
AL|HAWTHORNE|36529,DEER PARK
AL|HAWTHORN|36585,WAGARVILLE
AL|HAYWOOD|36278,WEDOWEE
AL|HEALING SPRINGS|36558,MILLRY
AL|HELENA|35022,BESSEMER
AL|HERON BAY|36523,CODEN
AL|HIGHBLUFF|36344,HARTFORD
AL|HIGHLAND LAKE|35121,ONEONTA
