#,UNIT
SMT,SUFFIX1
SO,DIR
SOUTH,DIR
SOUTHEAST,DIR
SOUTHWEST,DIR
SP,UNIT
SPACE,UNIT
SPC,UNIT
SPG,SUFFIX1
SPGS,SUFFIX1
SPNG,SUFFIX1
SPNGS,SUFFIX1
SPRING,SUFFIX1
SPRINGS,SUFFIX1
SPRNG,SUFFIX1
SPRNGS,SUFFIX1
SPUR,SUFFIX1
SPURS,SUFFIX1
SQ,SUFFIX1
SQR,SUFFIX1
SQRE,SUFFIX1
SQRS,SUFFIX1
SQS,SUFFIX1
SQU,SUFFIX1
SQUARE,SUFFIX1
SQUARES,SUFFIX1
ST,SUFFIX1
STA,SUFFIX1
STATE,ST_SPECIAL
STE,UNIT
STOP,UNIT
STR,SUFFIX1
STRA,SUFFIX1
STRAV,SUFFIX1
STRAVEN,SUFFIX1
STRAVENUE,SUFFIX1
STRAVN,SUFFIX1
STREAM,SUFFIX1
STREET,SUFFIX1
STREETS,SUFFIX1
STREME,SUFFIX1
STRET,SUFFIX1
STRM,SUFFIX1
STRT,SUFFIX1
STRVN,SUFFIX1
STRVNUE,SUFFIX1
STS,SUFFIX1
SUITE,UNIT
SUMIT,SUFFIX1
SUMITT,SUFFIX1
SUMMIT,SUFFIX1
SW,DIR
TE,SUFFIX1
TER,SUFFIX1
TERR,SUFFIX1
TERRACE,SUFFIX1
THE,PREFIX
THROUGHWAY,SUFFIX1
THWY,SUFFIX1
TN,ST_SPECIAL
TOWERS,SUFFIX1
TP,SUFFIX1
TPKE,SUFFIX1
TR,SUFFIX1
TRACE,SUFFIX1
TRACES,SUFFIX1
TRACK,SUFFIX1
TRACKS,SUFFIX1
TRAFFICWAY,SUFFIX1
TRAIL,SUFFIX1
TRAILER,UNIT
TRAILS,SUFFIX1
TRAK,SUFFIX1
TRCE,SUFFIX1
TRFY,SUFFIX1
TRK,SUFFIX1
TRKS,SUFFIX1
TRL,SUFFIX1
TRLR,UNIT
TRLRS,SUFFIX1
TRLS,SUFFIX1
TRNPK,SUFFIX1
TRWY,SUFFIX1
TSSE,SUFFIX1
TUNEL,SUFFIX1
TUNL,SUFFIX1
TUNLS,SUFFIX1
TUNNL,SUFFIX1
TURN,SUFFIX1
TURNPIKE,SUFFIX1
TURNPK,SUFFIX1
TWRS,SUFFIX1
TX,ST_SPECIAL
UN,SUFFIX1
UNDERPASS,SUFFIX1
UNION,SUFFIX1
UNIONS,SUFFIX1
UNIT,UNIT
UNS,SUFFIX1
UPAS,SUFFIX1
UPPER,UNIT
UPPR,UNIT
US,ST_SPECIAL
UT,ST_SPECIAL
VA,ST_SPECIAL
VALE,SUFFIX1
VALLEY,SUFFIX1
VALLEYS,SUFFIX1
VALLY,SUFFIX1
